Name,Windows,Wine_linux
EldenRing,/run/media/mono/4638C8D738C8C6E1/Users/mono/AppData/Roaming/EldenRing,/home/mono/.wine/pfx/drive_c/users/mono/AppData/Roaming/EldenRing
KCD2,/run/media/mono/4638C8D738C8C6E1/Users/mono/Saved Games/kingdomcome2/saves/,/home/mono/.wine/drive_c/users/mono/Saved Games/kingdomcome2/saves
